GRAFO,CAPACIDADE,EXTRA,ALEATORIO,GULOSO_SEQ,GULOSO_RND,GULOSO_DFS,GULOSO_BFS,GULOSO_LS,ANNEALING,OPTIMUM
misc/graphs/Fir16.dot,49.21%,0,289315,357163,362078,371345,469847,308867778,44675288,126
misc/graphs/Fir16.dot,49.21%,1,295328,392900,407895,410652,563002,332553944,3689125,126
misc/graphs/Fir16.dot,49.21%,2,405987,568779,588552,587079,691328,401179264,710532,126
misc/graphs/Fir16.dot,49.21%,3,598768,1025608,1103673,1013100,1132387,153238,964417,126
misc/graphs/Fir16.dot,49.21%,4,1596101,2944249,3274851,2976125,3114351,178460,2067275,126
misc/graphs/mults1.dot,53.90%,0,277655,382706,509449,729807,792273,1248247701,851977250,138
misc/graphs/mults1.dot,53.90%,1,304035,397860,640974,1188905,1011723,670320782,62047297,138
misc/graphs/mults1.dot,53.90%,2,357340,508090,1302324,3075557,2101018,763582398,47638802,138
misc/graphs/mults1.dot,53.90%,3,596454,956802,4412170,11873441,7007535,966150415,89369041,138
misc/graphs/mults1.dot,53.90%,4,1584058,2284223,11586767,52778541,27311300,1665130951,62474944,138
