GRAPH, COPY, NUM_NODES, NUM_EDGES, NUM_CELLS, ROUTED
Cplx8, 2, 92, 120, 128, 100%
FilterRGB, 2, 114, 140, 128, 99.2857%
Fir16, 2, 98, 126, 128, 99.2063%
arf, 4, 112, 120, 128, 99.1667%
conv3, 5, 120, 135, 128, 98.5185%
cosine1, 1, 66, 76, 128, 100%
cosine2, 1, 81, 91, 128, 100%
ewf, 3, 102, 141, 128, 97.1631%
feedback_points, 2, 108, 102, 128, 99.0196%
fir, 2, 88, 86, 128, 98.8372%
fir1, 2, 88, 86, 128, 100%
fir2, 3, 120, 117, 128, 100%
h2v2_smooth, 2, 104, 110, 128, 99.0909%
horner_bezier_surf, 7, 119, 112, 128, 100%
interpolate_aux, 1, 108, 104, 128, 100%
jpeg_fdct_islow, 1, 173, 210, 128, 0%
jpeg_idct_ifast, 1, 167, 210, 128, 0%
k4n4op, 2, 110, 136, 128, 97.0588%
mac, 11, 121, 143, 128, 99.3007%
motion_vectors, 4, 128, 116, 128, 99.1379%
mults1, 6, 120, 138, 128, 99.2754%
simple, 10, 120, 140, 128, 100%
