GRAPH, COPY, NUM_NODES, NUM_EDGES, NUM_CELLS, ROUTED
Cplx8.dot, 2, 92, 120, 128, 100%
FilterRGB.dot, 2, 114, 140, 128, 100%
Fir16.dot, 2, 98, 126, 128, 100%
arf.dot, 4, 112, 120, 128, 100%
conv3.dot, 5, 120, 135, 128, 100%
cosine1.dot, 1, 66, 76, 128, 100%
cosine2.dot, 1, 81, 91, 128, 100%
ewf.dot, 3, 102, 141, 128, 100%
feedback_points.dot, 2, 108, 102, 128, 100%
fir.dot, 2, 88, 86, 128, 100%
fir1.dot, 2, 88, 86, 128, 100%
fir2.dot, 3, 120, 117, 128, 100%
h2v2_smooth.dot, 2, 104, 110, 128, 100%
horner_bezier_surf.dot, 7, 119, 112, 128, 100%
interpolate_aux.dot, 1, 108, 104, 128, 100%
jpeg_fdct_islow.dot, 1, 173, 210, 173, 88.5714%
jpeg_idct_ifast.dot, 1, 167, 210, 167, 88.5714%
k4n4op.dot, 2, 110, 136, 120, 99.2647%
mac.dot, 11, 121, 143, 128, 100%
motion_vectors.dot, 4, 128, 116, 128, 100%
mults1.dot, 6, 120, 138, 128, 100%
simple.dot, 10, 120, 140, 128, 100%
